Symbol,Company
Conglomerate,NYSE
Financial services,NYSE
Biopharmaceutical,NASDAQ
Retailing,NASDAQ
Information technology,NASDAQ
Aerospaceanddefense,NYSE
Constructionandmining,NYSE
Petroleum industry,NYSE
Information technology,NASDAQ
Drink industry,NYSE
Broadcastingandentertainment,NYSE
Financial services,NYSE
Home Improvement,NYSE
Conglomerate,NASDAQ
Information technology,NYSE
Pharmaceutical industry,NYSE
Financial services,NYSE
Food industry,NYSE
Pharmaceutical industry,NYSE
Information technology,NASDAQ
Clothing industry,NYSE
Information technology,NASDAQ
Fast-moving consumer goods,NYSE
Information technology,NYSE
Specialty chemicals,NYSE
Insurance,NYSE
Managed health care,NYSE
Telecommunications industry,NYSE
Financial services,NYSE
Retailing,NYSE
